zipcode,white,black,asian,latinx,full_pop,white_proportion,black_proportion,modal_race
10027,13871,23904,4469,15575,59707,0.232317818681227,0.400355067245047,black
10025,52030,11157,7708,21010,94600,0.55,0.117938689217759,white
11211,58603,3050,3408,23514,90117,0.650299055672071,0.0338448905311983,white
10029,10119,19344,5097,39859,76003,0.133139481336263,0.254516269094641,latinx
11217,17961,7250,2143,7192,35881,0.500571333017474,0.202056798862908,white
10009,30587,4775,8277,15977,61347,0.498589988100478,0.0778359169967562,white
11216,5625,39581,1601,5896,54316,0.103560645113779,0.728717136755284,black
11225,8126,40562,817,5845,56829,0.14299037463267,0.713755300990691,black
11238,16670,22210,2660,5683,49262,0.338394705858471,0.450854614104178,black
11222,27946,635,1785,5702,36934,0.756646991931554,0.0171928304543239,white
10002,16330,5257,37739,20619,81410,0.200589608156246,0.0645743766122098,asian
10128,44976,2500,5760,5830,60453,0.743982928886904,0.0413544406398359,white
10075,21853,486,1831,1469,26121,0.836606561770223,0.0186057195360055,white
11226,6005,72591,2930,17409,101572,0.059120623793959,0.714675304217698,black
11209,47714,1173,7889,10322,68853,0.692983602747883,0.0170362947148272,white
10024,45701,2667,3226,6329,59283,0.7708955349763,0.044987601842012,white
11221,3721,40934,1567,31166,78895,0.0471639520882185,0.518841498193802,black
11206,21250,19571,4422,35118,81677,0.260171162016235,0.239614579379752,latinx
10014,26580,604,1861,2030,31959,0.831690603585844,0.0188992146187302,white
11215,42730,3239,3948,11343,63488,0.673040574596774,0.0510175151209677,white
10018,2480,334,1338,945,5229,0.47427806463951,0.0638745458022566,white
10031,5920,15014,1292,32984,56438,0.104893865835076,0.26602643608916,latinx
10030,1636,18159,389,6088,26999,0.0605948368458091,0.672580465943183,black
11201,30960,7131,4965,6365,51128,0.605539039273979,0.1394734783289,white
11106,15840,2959,7393,11190,38875,0.407459807073955,0.0761157556270096,white
11232,5504,1334,4512,16339,28265,0.194728462763135,0.0471961790199894,latinx
10003,40056,1738,8020,4489,56024,0.714979294588034,0.0310224189633014,white
10452,1001,20945,952,51328,75371,0.0132809701344018,0.277892027437609,latinx
10012,16995,518,3956,1921,24090,0.705479452054795,0.021502698215027,white
10044,NA,2281,2120,1736,11661,NA,0.195609295943744,black
11385,45996,1693,6236,43166,98592,0.466528724440117,0.0171717786432976,white
10301,17435,8624,2604,9867,39706,0.439102402659548,0.217196393492167,white
